nome,cpf,email,telefone,cidade,personagem,raça,lugar,idioma,item_mágico
Pietra Fernandes,985.127.643-09,da-rochapaulo@example.org,+55 84 4079-8625,Martins das Pedras,Sr. Boaventura de Bolsin,Hobbit,Rohan,Valarin,Andúril
Mathias Machado,610.354.982-51,hpimenta@example.org,41 4197 9853,Rios da Praia,Gandalf,Homem,Rohan,Quenya,Andúril
Mateus Campos,321.687.509-12,leticia62@example.net,81 4755-5606,Cavalcanti,Beren,Valar,Aman,Valarin,Silmaril
Bianca Almeida,749.501.386-93,hcosta@example.net,+55 (071) 1754 9973,Moura,Lúthien,Maiar,Gondor,Valarin,Silmaril
Kamilly Aparecida,327.061.495-07,davi-luccasouza@example.com,+55 (021) 2063 9593,Oliveira,Gandalf,Elfo,Valfenda,Entês,Andúril
Carlos Eduardo Leão,730.264.519-16,djesus@example.com,(041) 1138-8183,Macedo,Beren,Hobbit,Condado,Entês,Silmaril
Anthony Fogaça,862.074.951-01,esantos@example.org,+55 81 7977 3862,Abreu dos Dourados,Glorfindel,Hobbit,Floresta das Trevas,Westron,Silmaril
Gabrielly Rodrigues,813.642.507-80,yoliveira@example.net,(081) 7445 5716,Cardoso,Roverandom,Dragão,Angband,Entês,Arkenstone
Manuela Costela,650.931.427-43,mporto@example.org,+55 (021) 3862-4195,Casa Grande,Frodo,Maiar,Gondor,Sindarin,Cajado de Gandalf
Ana Luiza Mendes,475.039.128-04,lucas55@example.org,+55 61 7031-1482,Freitas,Melian,Homem,Númenor,Entês,O Um Anel
